1,1,1,6,1,1,0,1,2,1,2,0,0,6851.5,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
1,2,2,6,2,2,0,1,1,1,2,1,1,5435.8,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
1,3,1,5,1,1,0,1,2,2,2,0,0,14410,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
1,4,2,5,2,2,0,1,2,2,2,1,1,9056.1,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
2,1,1,6,1,1,0,1,1,1,1,1,1,3665.8,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
2,2,1,5,1,1,0,1,2,1,1,1,1,3927.5,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
2,3,2,6,2,2,0,1,1,2,2,1,1,4587.5,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
2,4,2,5,2,2,0,1,2,2,2,1,1,3322,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
3,1,1,6,1,1,0,1,2,2,1,1,1,2941.1,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
3,2,2,5,2,2,0,1,2,1,2,1,1,2927.5,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
3,3,2,6,2,2,0,1,1,1,2,1,1,4729.9,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
3,4,1,5,1,1,0,1,2,2,1,1,1,5613.9,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
4,1,2,6,2,2,0,1,2,1,2,1,1,3467,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
4,2,1,6,1,1,0,1,2,1,1,1,1,2544,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
4,3,1,5,1,1,0,1,2,2,2,0,0,6611.6,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
4,4,2,5,2,2,0,1,2,2,2,1,1,2346.2,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
5,1,1,5,1,1,0,1,1,1,1,1,1,2597.7,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
5,2,2,5,2,2,0,1,2,1,2,1,1,4035.5,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15,1.3751e+15
